eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude
1000001,GUTE,1961931,1904,4,4,10,26,0,,23.25,41.75,,,,35,,7.5,0.2
1000002,ISC-GEM,16957878,1905,11,8,22,6,11.56,,23.974,39.114,14.2,7.7,13.2,15,4.6,7.36,1.05
1000003,GUTE,1961879,1908,5,17,12,30,54,,24,35,,,,100,,6.8,0.2
1000004,GUTE,1961822,1910,2,18,5,9,18,,24.5,36,,,,150,,7,0.2
1000005,GUTE,1961839,1910,8,21,16,11,30,,27,34,,,,170,,6.5,0.2
1000006,GUTE,1961785,1911,4,4,15,43,54,,25.5,36.5,,,,140,,7,0.2
1000007,GUTE,1961791,1911,4,30,20,42,30,,30,36,,,,180,,6.2,0.2
1000008,GUTE,1961741,1912,1,24,16,23,6,,20.5,38,,,,60,,6.8,0.2
1000009,GUTE,1961747,1912,4,21,2,53,42,,19.5,37.5,,,,35,,5.8,0.2
1000010,ISC-GEM,16958205,1912,8,9,1,29,4.82,,27.023,40.638,11.1,9.1,179.3,15,4.3,7.12,0.44
1000011,GUTE,1961680,1913,9,30,7,33,48,,24,35,,,,60,,5.8,0.2
1000012,ISC-GEM,914008,1914,10,3,22,7,8.359999,,30.021,37.629,15,7.7,27.9,15,12.3,7.02,0.33
1000013,GUTE,1961451,1914,10,17,6,22,30,,23.5,38.25,,,,35,,5.6,0.2
1000014,GUTE,1960505,1918,7,16,20,3,46,,25.5,35.5,,,,150,,6.5,0.2
1000015,ISC-GEM,913005,1919,11,18,21,54,55.049999,,26.53,39.498,11.2,9.9,72.3,10,5,6.51,0.2
1000016,ISC-GEM,911973,1922,8,11,8,19,42.63,,27.176,34.989,14.2,5.9,42.2,20,15.8,6.32,0.32
1000017,ISC-GEM,911975,1922,8,13,0,9,56.159999,,27.547,35.324,12.7,6.2,49.7,15,11,6.73,0.29
1000018,ISC-GEM,911481,1923,8,1,8,16,28.01,,25.16,34.786,12.1,6.4,43.1,15,11.2,5.62,0.2
1000019,ISC-GEM,911765,1923,12,5,20,56,51.039999,,23.597,39.802,8.9,6,29.7,10,4.1,6.24,0.2
1000020,GUTE,1957534,1925,7,6,12,15,55,,21.75,38.25,,,,120,,6.5,0.2
1000021,GUTE,1957587,1925,8,7,6,46,37,,30.5,38,,,,35,,5.8,0.2
1000022,ISC-GEM,909771,1926,3,18,14,6,16.92,,29.521,36.021,9.2,5.4,23.9,15,14.6,6.85,0.2
1000023,ISC-GEM,909893,1926,6,26,19,46,34.02,,26.795,36.681,8.7,5.3,31.1,15,25,6.92,0.55
1000024,GUTE,1956751,1926,7,5,9,21,54,,27,36.5,,,,150,,5.5,0.2
1000025,ISC-GEM,910077,1926,8,30,11,38,5.44,,22.995,36.57,7.9,5,25.9,50,6.8,6.27,0.2
1000026,GUTE,1956976,1926,9,19,1,3,57,,22,36,,,,80,,6.2,0.2
1000027,GUTE,1956009,1927,6,5,8,24,58,,31,36,,,,120,,6.2,0.2
1000028,GUTE,1956055,1927,7,1,8,19,4,,22.75,36.75,,,,120,,6.9,0.2
1000029,ISC-GEM,908579,1928,3,31,0,29,51.259999,,27.494,38.202,7.5,4.8,24.3,10,5.7,6.4,0.36
1000030,GUTE,1954329,1929,3,27,7,41,46,,26.5,36.75,,,,120,,5.8,0.2
1000031,GUTE,1954678,1929,8,4,9,3,53,,31,36,,,,35,,5.6,0.2
1000032,GUTE,1953399,1930,2,14,18,38,20,,24.75,35.75,,,,130,,6.8,0.2
1000033,GUTE,1953438,1930,3,6,8,21,42,,26,34.5,,,,130,,5.8,0.2
1000034,GUTE,1953440,1930,3,6,9,18,32,,24.5,35,,,,100,,6,0.2
1000035,GUTE,1953840,1930,9,11,12,36,44,,31,37,,,,35,,6,0.2
1000036,GUTE,1954026,1930,11,21,2,0,25,,19.5,40.5,,,,35,,6,0.2
1000037,GUTE,1952380,1931,1,4,0,0,43,,23,38,,,,35,,5.6,0.2
1000038,GUTE,1952543,1931,3,7,0,16,42,,22.5,41,,,,35,,6,0.2
1000039,ISC-GEM,906655,1931,3,8,1,50,22.64,,22.659,41.34,5.4,3.8,9.5,10,3.7,6.63,0.25
1000040,GUTE,1952836,1931,6,30,10,23,56,,23,36.5,,,,100,,5.5,0.2
1000041,GUTE,1952876,1931,7,12,22,24,22,,26,39.5,,,,35,,5.6,0.2
1000042,GUTE,1951550,1932,3,9,10,16,48,,20.5,38,,,,35,,5.6,0.2
1000043,GUTE,1951660,1932,4,27,1,47,46,,23.5,34,,,,35,,5.6,0.2
